tax_id,resident,breeding,nonbreeding,type
22678073,TRUE,FALSE,FALSE,solo_resident
22678108,TRUE,FALSE,FALSE,solo_resident
22678111,TRUE,FALSE,FALSE,solo_resident
22678114,TRUE,FALSE,FALSE,solo_resident
22678122,TRUE,FALSE,FALSE,solo_resident
22678129,TRUE,FALSE,FALSE,solo_resident
22678132,TRUE,FALSE,FALSE,solo_resident
22678135,TRUE,FALSE,FALSE,solo_resident
22678139,TRUE,FALSE,FALSE,solo_resident
22678145,TRUE,FALSE,FALSE,solo_resident
22678148,TRUE,FALSE,FALSE,solo_resident
22678151,TRUE,FALSE,FALSE,solo_resident
22678154,TRUE,FALSE,FALSE,solo_resident
22678157,TRUE,FALSE,FALSE,solo_resident
22678160,TRUE,FALSE,FALSE,solo_resident
22678163,TRUE,FALSE,FALSE,solo_resident
22678166,TRUE,FALSE,FALSE,solo_resident
22678169,TRUE,FALSE,FALSE,solo_resident
22678172,TRUE,FALSE,FALSE,solo_resident
22678176,TRUE,FALSE,FALSE,solo_resident
22678182,TRUE,FALSE,FALSE,solo_resident
22678185,TRUE,FALSE,FALSE,solo_resident
22678188,TRUE,FALSE,FALSE,solo_resident
22678191,TRUE,FALSE,FALSE,solo_resident
22678194,TRUE,FALSE,FALSE,solo_resident
22678213,TRUE,FALSE,FALSE,solo_resident
22678217,TRUE,FALSE,FALSE,solo_resident
22678220,TRUE,FALSE,FALSE,solo_resident
22678223,TRUE,FALSE,FALSE,solo_resident
22678226,TRUE,FALSE,FALSE,solo_resident
22678229,TRUE,FALSE,FALSE,solo_resident
22678232,TRUE,FALSE,FALSE,solo_resident
22678235,TRUE,FALSE,FALSE,solo_resident
22678238,TRUE,FALSE,FALSE,solo_resident
22678246,TRUE,FALSE,FALSE,solo_resident
22678254,TRUE,FALSE,FALSE,solo_resident
22678259,TRUE,FALSE,FALSE,solo_resident
22678262,TRUE,FALSE,FALSE,solo_resident
22678265,TRUE,FALSE,FALSE,solo_resident
22678268,TRUE,FALSE,FALSE,solo_resident
22678271,TRUE,FALSE,FALSE,solo_resident
22678274,TRUE,FALSE,FALSE,solo_resident
22678277,TRUE,FALSE,FALSE,solo_resident
22678280,TRUE,FALSE,FALSE,solo_resident
22678283,TRUE,FALSE,FALSE,solo_resident
22678286,TRUE,FALSE,FALSE,solo_resident
22678289,TRUE,FALSE,FALSE,solo_resident
22678294,TRUE,FALSE,FALSE,solo_resident
22678299,TRUE,FALSE,FALSE,solo_resident
22678302,TRUE,FALSE,FALSE,solo_resident
22678305,TRUE,FALSE,FALSE,solo_resident
22678308,TRUE,FALSE,FALSE,solo_resident
22678312,TRUE,FALSE,FALSE,solo_resident
22678315,TRUE,FALSE,FALSE,solo_resident
22678318,TRUE,FALSE,FALSE,solo_resident
22678322,TRUE,FALSE,FALSE,solo_resident
22678325,TRUE,FALSE,FALSE,solo_resident
22678328,TRUE,FALSE,FALSE,solo_resident
22678331,TRUE,FALSE,FALSE,solo_resident
22678342,TRUE,FALSE,FALSE,solo_resident
